Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10447718,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10452339,00000521,false,Rx,0,6,00,02,00,00,02,93,00,00,
10457541,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10463335,00000523,false,Rx,0,6,02,0C,00,04,7A,4C,00,00,
10464352,00000524,false,Rx,0,6,03,0C,FF,FF,FF,F2,00,00,
10467543,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10467722,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10472375,00000521,false,Rx,0,6,00,03,00,00,02,6F,00,00,
10475657,1801D08F,true,Rx,0,8,00,8C,00,5E,03,00,00,47,
10477251,0000039D,false,Rx,0,5,1E,55,01,28,00,00,00,00,
10477548,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10485317,00000522,false,Rx,0,6,01,0C,00,04,7A,2A,00,00,
10487553,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10487732,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10492320,00000521,false,Rx,0,6,00,04,00,00,02,75,00,00,
10497555,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10507560,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10507737,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10510811,00000100,false,Rx,0,8,01,00,00,00,3D,09,3F,12,
10511055,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
10512316,00000521,false,Rx,0,6,00,05,00,00,02,53,00,00,
10517204,0000039D,false,Rx,0,5,1F,56,01,28,00,00,00,00,
10517562,00000112,false,Rx,0,8,FB,1F,76,0B,86,01,65,49,
10523313,00000523,false,Rx,0,6,02,0D,00,04,7A,54,00,00,
10524340,00000524,false,Rx,0,6,03,0D,00,00,00,2B,00,00,
10527564,00000112,false,Rx,0,8,FB,1F,76,0B,86,01,65,49,
10527815,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
10528060,0000003F,false,Rx,0,8,00,00,00,40,00,40,64,6B,
10528284,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
10528466,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10528700,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
10528945,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
10529169,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
10532346,00000521,false,Rx,0,6,00,06,00,00,02,94,00,00,
10537569,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10545220,00000522,false,Rx,0,6,01,0D,00,04,7A,11,00,00,
10547573,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10547761,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10552223,00000521,false,Rx,0,6,00,07,00,00,02,82,00,00,
10557236,0000039D,false,Rx,0,5,20,57,01,28,00,00,00,00,
10557582,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10567578,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10567766,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10571385,000003B4,false,Rx,0,8,00,FF,30,F0,B8,FF,00,00,
10572308,00000521,false,Rx,0,6,00,08,00,00,02,67,00,00,
10575636,1801D08F,true,Rx,0,8,00,8C,00,5E,03,00,00,47,
10577588,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10583306,00000523,false,Rx,0,6,02,0E,00,04,7A,52,00,00,
10584312,00000524,false,Rx,0,6,03,0E,FF,FF,FF,F6,00,00,
10587589,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10587766,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10591617,00000272,false,Rx,0,8,37,F9,71,11,FF,FF,FF,FF,
10592350,00000521,false,Rx,0,6,00,09,00,00,02,60,00,00,
10597239,0000039D,false,Rx,0,5,21,58,01,28,00,00,00,00,
10597596,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10605290,00000522,false,Rx,0,6,01,0E,00,04,7A,30,00,00,
10607600,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10607778,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10610799,00000100,false,Rx,0,8,01,00,00,00,3D,09,3F,12,
10611054,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
10612211,00000521,false,Rx,0,6,00,0A,00,00,02,85,00,00,
10617595,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10627601,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10627852,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
10628034,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10628279,000002FA,false,Rx,0,8,FD,FF,05,FF,FF,FF,FF,FF,
10628503,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
10628748,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
10628993,0000003F,false,Rx,0,8,00,00,00,80,00,80,64,CE,
10629238,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
10629461,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
10629698,00000432,false,Rx,0,8,2C,E2,10,A3,4E,FF,02,FF,
10629943,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
10630187,0000051A,false,Rx,0,8,00,00,00,00,50,00,00,1A,
10630432,00000540,false,Rx,0,8,00,00,00,00,FD,3C,FF,40,
10632296,00000521,false,Rx,0,6,00,0B,00,00,02,5E,00,00,
10637257,0000039D,false,Rx,0,5,22,59,01,28,00,00,00,00,
10637498,0000035D,false,Rx,0,8,00,00,00,00,00,00,00,00,
10637732,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10643287,00000523,false,Rx,0,6,02,0F,00,04,7A,89,00,00,
10644305,00000524,false,Rx,0,6,03,0F,00,00,00,12,00,00,
10647623,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10647811,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10652327,00000521,false,Rx,0,6,00,0C,00,00,02,4F,00,00,
10657624,00000112,false,Rx,0,8,FB,1F,76,0B,86,01,65,49,
10661529,000003C3,false,Rx,0,8,83,04,C1,F1,0C,43,12,0C,
10665274,00000522,false,Rx,0,6,01,0F,00,04,7A,11,00,00,
10667626,00000112,false,Rx,0,8,FB,1F,75,0B,86,01,65,49,
10667814,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10672195,00000521,false,Rx,0,6,00,0D,00,00,02,56,00,00,
10675645,1801D08F,true,Rx,0,8,00,8C,00,5E,03,00,00,47,
10677208,0000039D,false,Rx,0,5,23,5A,01,28,00,00,00,00,
10677632,00000112,false,Rx,0,8,FB,1F,75,0B,86,01,65,49,
10687640,00000112,false,Rx,0,8,FB,1F,75,0B,86,01,65,49,
