Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
30840843,0000039D,false,Rx,0,5,21,58,01,28,00,00,00,00,
30841160,00000524,false,Rx,0,6,03,0E,FF,FF,FF,E8,00,00,
30847665,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30847915,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
30848161,0000003F,false,Rx,0,8,00,00,00,C0,00,C0,64,C0,
30848384,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
30848567,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30848800,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
30849056,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
30849280,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
30849483,00000521,false,Rx,0,6,00,09,00,00,02,6D,00,00,
30857677,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30860947,000005BD,false,Rx,0,8,B3,80,00,00,00,00,00,00,
30862133,00000522,false,Rx,0,6,01,0E,00,04,7A,0B,00,00,
30867679,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30867867,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30869129,00000521,false,Rx,0,6,00,0A,00,00,02,65,00,00,
30875258,00000100,false,Rx,0,8,01,00,00,00,3D,09,75,12,
30875510,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
30877682,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30880788,0000039D,false,Rx,0,5,22,59,01,28,00,00,00,00,
30887687,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30887865,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30889127,00000521,false,Rx,0,6,00,0B,00,00,02,64,00,00,
30897696,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30900132,00000523,false,Rx,0,6,02,0F,00,04,7A,3D,00,00,
30901150,00000524,false,Rx,0,6,03,0F,FF,FF,FF,F2,00,00,
30907688,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30907876,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30909170,00000521,false,Rx,0,6,00,0C,00,00,02,6E,00,00,
30917696,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30920818,0000039D,false,Rx,0,5,23,5A,01,28,00,00,00,00,
30922119,00000522,false,Rx,0,6,01,0F,00,04,7A,1C,00,00,
30927696,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30927884,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30929116,00000521,false,Rx,0,6,00,0D,00,00,02,60,00,00,
30937704,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30937986,1801D08F,true,Rx,0,8,00,8C,00,5F,03,00,00,47,
30947709,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30947960,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
30948142,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30948386,000002FA,false,Rx,0,8,FD,FF,05,FF,FF,FF,FF,FF,
30948610,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
30948846,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
30949100,0000003F,false,Rx,0,8,00,00,00,00,00,00,64,65,
30949345,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
30949571,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
30949805,00000432,false,Rx,0,8,2C,E2,10,A3,4E,FF,02,FF,
30950049,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
30950295,0000051A,false,Rx,0,8,00,00,00,00,50,00,00,1A,
30950498,00000521,false,Rx,0,6,00,0E,00,00,02,6F,00,00,
30950742,00000540,false,Rx,0,8,00,00,00,00,FD,3C,FF,40,
30957722,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30960127,00000523,false,Rx,0,6,02,00,00,04,7A,29,00,00,
30960829,0000039D,false,Rx,0,5,24,5B,01,28,00,00,00,00,
30961148,00000524,false,Rx,0,6,03,00,00,00,00,00,00,00,
30967730,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30967907,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30969149,00000521,false,Rx,0,6,00,0F,00,00,02,6B,00,00,
30975246,00000100,false,Rx,0,8,01,00,00,00,3D,09,75,12,
30975498,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
30977733,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
30981417,000003B4,false,Rx,0,8,00,FF,30,F0,B8,FF,00,00,
30982036,00000522,false,Rx,0,6,01,00,00,04,7A,09,00,00,
30987737,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
30987915,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
30989115,00000521,false,Rx,0,6,00,00,00,00,02,69,00,00,
30997735,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31000847,0000039D,false,Rx,0,5,25,5C,01,28,00,00,00,00,
31001235,00000272,false,Rx,0,8,D1,F4,71,11,FF,FF,FF,FF,
31007737,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31007927,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31009115,00000521,false,Rx,0,6,00,01,00,00,02,6D,00,00,
31017747,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
